今天14:26来自iP,hone客户端,zzzzziying,#mbti##isfj#我好幸福！原来身边的人都是XXFJ小天使！难怪明明ISFJ-A的我根本不像妈妈反而像个巨婴～感觉得到的永远比付出多～感恩,"['[兔子]', '[兔子]']"
今天14:26来自iP,hone客户端,Dxx_n,#mbti#谢。。。,[]
今天14:25转赞人数,超过200来自iPhone11,MBTImemes,#mbtimeme##intj##enfj#,[]
今天14:25来自An,droid客户端,专业卡特尔人格测试,#mbti##mbti#你想了解自己是什么人格么快来做一下国际最流行的卡特尔人格测试吧，了解一下自己的人格以及缺点优点，缺点及时改正,[]
今天14:24,,莘苒,#mbti#在ESFP和ISFP之间反复横跳一整年了,['[摊手]']
今天14:23来自vi,vo全新水滴屏手机,灿灿can_,测了三次两次是这个#mbti##改良版mbti测试##mbti职业性格测试#2长春,[]
今天14:22来自HU,AWEIP30,树妖他超帅的,#mbti#当我被这个鬼疫情封住迫切想出去玩的时候我的ESFP之魂狠狠燃烧并且看到今天阳光这么好狠狠想去操场晒太阳但想到下周的pre最后这周末搞完ppt我的esfj又会提醒我别出去玩啦抓紧做不要拖别人的进度呜呜,[]
今天14:18来自Re,dmiNote11Pro,忠犬博士后,#mbti#没事测一测@钱和帅哥都要,['[哈欠]']
今天14:17来自iP,hone客户端,我真的会无雨,#mbti#infp和enfj是官配我和男朋友正好是我们是官配,"['[泪]', '[泪]', '[泪]', '[泪]']"
今天14:17来自iP,adPro,realleworld,意思我跟杨正艺是有多像这都能测出来一样@老派咸鱼杨正正#mbti#,['[疑问]']
今天14:17转赞人数,超过800来自iPhone11,MBTImemes,#mbtimeme##entp#,[]
今天14:17转赞人数,超过400来自HarmonyOS设备,你的小江i,#mbti##infj#【关于INFJ（个人而言，不代表全体。】【我是INFJ–T】【我（INFJ)个人而言，一定需要孤独。】如果可以，我很想一个人待在房间，不去进行所谓的社交，那太累了。我只想一个人待着，我需要足够的“孤独”。可以说，没有“孤独”，就像没有氧气一样，会窒息。【我（INFJ)在什么展开c,[]
今天14:14来自HU,AWEIP30,吧唧小丸戢,#mbti#打从心底鄙视蠢人,[]
今天14:13转赞人数,超过40来自iPhone12ProMax,Ritatawang,#mbti#做了三遍测试…2遍都是人口比例最少的INFJ还有一遍是INTJ是我本人没错了,"['[doge]', '[喵喵]']"
今天14:11来自iP,hone客户端,抱抱肥四,#mbti#ISFJ来咯,['[举手]']
今天14:09来自iP,honeXR,·修女的戀愛手冊,#mbti#我是调停者耶！！我觉得3太准了我每天都在幻想世界毁灭是什么样子还有王哲每天一句：“你脑子里都是什么东西/你别瞎想”,[]
今天14:08转赞人数,超过3万来自微博weibo.com,MBTImemes,#mbtimeme##enfj##entp##intj##esfj##estj##infp##enfp#投稿人@搞点MBTI试试吧如果十六人格在一个朋友圈内会发生什么,[]
今天14:05来自小米,10青春版5G,KIKI_瑶瑶,怎么能让一个ENFP自律起来致命#mbti##enfp#,[]
今天14:03转赞人数,超过100来自iPhone11,MBTImemes,#mbtimeme##intp##isfj#,[]
今天14:00来自微博,国际版,Avril尤一,本ESTJ白羊女觉得真的很准#mbtimeme#,[]
今天13:59来自iP,hone11,iamiya,#mbti#测了三次出现三个结果：estp，enfj-a和esfj-a感觉e应该是没跑了。看了每一个类型的图，好像自己符合又好像没那么符合（但我似乎更喜欢estp，那么以后就认为自己是#estp#好了,"['[黑线]', '[酷]']"
今天13:59来自iQ,OOZ3性能先锋,葵逃,#mbti#我,[]
今天13:59来自iP,hone客户端,lalalaluckier,#mbti#我竟是ENFP-A的天蝎,[]
今天13:59来自no,va5Pro人像超级夜景,wojiao周星星,#mbti#摆烂本人了,[]
今天13:59转赞人数,超过1400;今天12:34@希望自己能拧开瓶盖转发过来自iPhone11,MBTImemes,#mbtimeme##infp##enfp#,[]
今天13:58转赞人数,超过3400来自微博weibo.com,MBTImemes,#mbtimeme##16p#,[]
今天13:58来自HU,AWEIMate20Pro,顾魏爱妻,#mbti#跟风一下,[]
今天13:57来自MB,TI超话,OneProLe,em......@北北今天枯了吗#mbti#MBTI,[]
今天13:57来自iP,hone客户端,微微辣yingying,#mbti#oneplusone,[]
今天13:53来自iP,hone客户端,xuanniii,#mbti#ENFP白羊=快乐疯狗,['[开学季]']
今天13:53来自iP,hone客户端,我想再睡二十四小时,咱就是说现在这份工作是挺对口#mbti#,['[揣手]']
今天13:52来自iP,hone客户端,奶萝欧尼koo,我是：#mbti#,[]
今天13:52来自说废,话专用机,北极圈极南-,#mbti#调停者INFP-T是我本人除了语言能力外,['[交税]']
今天13:52来自小米,11Pro,回到过去Joanne,#mbti#昨天一次今天一次都是ESTJ前年职规课好像是ENTP我忘了哈哈哈哈,[]
今天13:50来自MB,TI超话,朱安奇要开心,MBTI#mbti#不一样咋回事儿,[]
今天13:45来自iP,hone客户端,你的发际线后移了吗,#mbti#之前是ESTP-T，今天又是ESTJ-T感觉今天这个不太准,[]
今天13:45来自三星,GalaxyS9,追逐流星的小孩,#mbti#挺准,['[doge]']
今天13:43来自en,fp超话,除除發大財,#mbti#好吧真的是有亿点点准呢2佳木斯,['[感冒]']
今天13:42来自OP,POReno3Pro5G,oooooooptimal,“isfj一旦在任何一家奶茶店遇到了自己喜欢喝的口味，一旦喜欢上之后永远都是点同一杯。夸张点的甚至可以连续几天都能吃同样的午餐。在某种程度上来说，isfj相对专一，因为害怕踩雷”。确实不喜欢尝试新事物大多数时间只喜欢待在自己觉得有安全感的的圈子当中超级容易患得患失害怕伤害别人不会拒展开c,[]
今天13:41转赞人数,超过1600来自微博weibo.com,MBTImemes,#mbtimeme##intp##infj##istj##estp##entp##istp#,[]
今天13:40,,一块双下巴小饼干,#mbti#我是快乐修狗,['[开学季]']
今天13:39来自iP,hone客户端,一啊鸭_xxx,#mbti#探险家,['[二哈]']
今天13:38转赞人数,超过100,晓生,这类测试的本身只是在更全面的了解自我，但千万不要过度自我“符号化”我看大家对这个测试的热衷和依赖程度，已经快赶上对星座的追捧了但其实不稀奇，无论是对星座还是对mbti测试有热烈追捧的，基本都有一个共性问题：自我内核的缺失有一个新鲜的东西，或者有一个能够帮助自己更全面了解自己的工展开c,[]
今天13:36来自白敬,亭老婆HarmonyOS设备,奶妮的小熊软糖,#mbtimeme#estj的天秤女和estp的天蝎男谈恋爱很不擦刺激的感觉,[]
今天13:36来自iP,hone,not_Fi,#mbti##infp#nottotallyunexpectedbut……obviouslydidn’tchoosetherightjob,['[裂开]']
今天13:36来自MB,TI超话,四夕木南王王今,是我本人了MBTI#mbtimeme##istp#,['[允悲]']
今天13:34来自no,va4自拍极点全面屏,woooyoooo,怎么感觉一点都不像我#mbti#,[]
今天13:34来自iP,hone11,MBTImemes,#mbtimeme##infj##enfp#,[]
今天13:34来自好女,孩的HarmonyOS设备,好女孩0号,测了两次MBTI，一遍INFJ-?(忘了)提倡者，一遍ISFP-T探险家....所以我到底是什么人格？有没有懂的给我分析分析#mbti#,[]
今天13:32来自iP,hone客户端,H-Aries三水函,#mbti#ESFJ我fo了每次说着不想照顾别人但是行动上比嘴快多了出力不讨好惹一身骚说的就是我吧从没见过有人为我两肋插刀的我还是适合没朋友2济南·燕山消防主题文化公园,['[拜拜]']
今天13:31,,西南小土著,#mbti#一整个open住,['[笑哈哈]']
今天13:31来自no,va7你在焦点在,小刘今天变成富婆了嘛,#mbti#我真的会笑星期四人格心理学老师刚刚讲了这个人格测验于是这两天我不管看什么都可以刷到,['[憧憬]']
今天13:29来自MB,TI超话,POLLYYIN__,咱就是说完全相反的两口子，是不是就互补了#mbti##intj##esfp#MBTI,['[doge]']
今天13:29转赞人数,超过100来自iPhone客户端,高翌仙Slay,#mbtimeme##mbti##infj##intp##enfp#MBTI当不同人格被邀请去酒吧时belike：L高翌仙Slay的微博视频,[]
今天13:29来自闹闹,姐姐的iPhone客户端,闹闹姐姐-,就是说有没有人可能会在Infp和Enfp之间摇摆#mbti#MBTI,['[疑问]']
今天13:28来自no,va7Pro你在焦点在,kiki嘢,拆监控！！#mbti##estp#,[]
今天13:28来自iP,hone客户端,xfqhyjm,#MBTI#ISFJ-T,[]
今天13:27转赞人数,超过600来自iPhone客户端,Auevoir,我会保存一些本#isfp#真实写照#mbtimeme#,[]
今天13:27来自Re,dmiK305G先锋,孤独又灿烂的蹦蹦哒,#mbti#好长,[]
今天13:27来自No,te9Pro一亿像素,8欧--,#mbti#似乎一样,[]
今天13:22来自iP,hone客户端,我想吃鹅肝寿司,#mbti#MBTI#esfj#不懂就问esfj和esfj-t有啥区别刚了解不是很懂,[]
今天13:22来自iP,hone客户端,Romantic_1999,#mbti#ISFJ-A,[]
今天13:22转赞人数,超过20来自intp超话,你也想借我的kindle盖面嘛,MBTIintp#mbtimeme#,[]
今天13:20来自An,droid,青阳夏夏,#mbti##infp#测了好多次，一直都是infp4%里必有我了,[]
今天13:20转赞人数,超过500来自想要抱抱iPhone客户端,野象小姐来看花,确实感觉#mbti#取代星座话题了！本#ENTP#上次测完变ENTJ我说：完了，我黑化了做另一套题测出仍然ENTP才放下心（没有看不上霸道总裁#ENTJ#的意思（ENTP承认自己招人烦但又可爱得要死，不是很渴望俗世的成功但诡辩必须赢,"['[羞嗒嗒]', '[羞嗒嗒]']"
今天13:18来自iP,hone13Pro,F-ShackleS,#mbti#这可不就是我嘛,['[doge]']
今天13:18来自iP,hone客户端,小春阳拾,#mbti#无语住！我明明觉得自己变活泼了，测出来怎么反而比两年更社恐了,['[裂开]']
今天13:18来自iP,hone12ProMax,大红椒的小花椒,Love&Peace#mbti##enfj#,[]
今天13:17来自iP,hone客户端,Eveeeeeemo,测mbti人格真的从高中测到大学要么是intj要么是estj看人格特点感觉都是一半对一半错哈哈哈哈哈哈哈哈哈哈哈！#mbti#,['[拜拜]']
今天13:17来自iP,hone客户端,来一碗玉米排骨汤-,#mbti#enfp-t双鱼座是快乐小了,[]
今天13:16来自no,va5iPro,无虞的夏,#mbti#不愧是我,[]
今天13:15转赞人数,超过2800来自微博weibo.com,中国新闻网,听说，大家都在做#mbti性格测试#，所以，你做了吗？#mbti#你做mbti性格测试了吗？,['[并不简单]']
今天13:13转赞人数,超过400来自iPhonenotAndroid,小猫薯条bot,"#mbti#本月会倒霉的人格：infp,enfp,isfp,esfp,intp,entp,infj,enfj,istp,estp,isfj,esfj,intj,entj,istj,estj.集美们要注意了！",[]
今天13:12转赞人数,超过500来自江西工程学院超话,江工那些事儿,江西工程学院#江今夜话##mbti#性格测试，小伙伴们中了几条呢,['[doge]']
今天13:07转赞人数,超过4200来自iPhone11,是王不萌阿,做了一个最近很火的MBTI测试，果不其然，我就是社交悍匪ESFP#mbti#,['[喵喵]']
今天13:07来自OP,POReno,说狠话大王是白羊座的,#mbti#烂牌摸多了自然不在意输赢,[]
今天13:05转赞人数,超过300来自iPhone11,MBTImemes,#mbtimeme##infp##isfp#,[]
今天13:03来自小米,11,星阳川湘曦1997,#mbti#原来冤种竟是我自己,['[苦涩]']
今天13:03来自iP,hone客户端,_文雅同学,#mbti#觉得还是蛮准的拿捏住了我,['[doge]']
今天13:03来自iP,hone客户端,想吃很多虾仁ho,多稀少#mbti#,[]
今天13:03来自iP,hone客户端,迪迪oh_,#mbti#上课的时候测了一个mbti真的是老母亲的感觉了,[]
今天13:02来自iP,hone,手可摘星辰_hhh,#mbti#巧了，本intj的朋友是infp,['[彩虹屁]']
今天13:01来自iP,hone客户端,玩好才念着倒,#mbti##estp#准不准不说，图上完全符合2上海,[]
今天13:01来自iP,hone客户端,瘦成一只小肥,#mbti#mark一下我的ENFP，以防又记不清笑死我了，真是我本人,[]
今天13:00来自iP,hone客户端,芊芊在哪呢,#mbti#天秤女enfj,[]
今天12:59来自iP,hone客户端,徐風至,#mbti#我好奇那些博主怎么知道爱因斯坦乔布斯玛丽莲梦露这些个的类型的？他们死之前也做过这测试题吗？,[]
04月01日16:51,,cpdd,#mbti#十六人格性格示意图,[]
04月01日14:47,来自iPhone客户端,美滋滋bot,#mbti#16人格,[]
04月01日14:44,,MbtiTT,#mbti#infj,[]
41秒前来自Harmo,nyOS设备,dheicbgskjwusjvy,一时兴起的思索：当我们运用MBTI，九型人格等等把人分门别类后，是否又会带来另类的歧视,[]
44秒前来自OnePl,us7T,春曙夏萤,最近mbti火爆程度让我以为大家被老累集体夺舍,[]
1分钟前来自iPhon,e12Pro,Ruiiko_,怎么mbti又火了,[]
2分钟前转赞人数超过4,00来自iPhone11,MBTImemes,#mbtimeme##infj#,[]
1分钟前来自iPhon,e客户端,来到阅览室的忙碌羊羊,天呐测了一下mbti测出来的跟我好像天呐内耗第一名,['[悲伤]']
04月01日16:51,,cpdd,#mbti#十六人格性格示意图,[]
04月01日14:47,来自iPhone客户端,美滋滋bot,#mbti#16人格,[]
04月01日14:44,,MbtiTT,#mbti#infj,[]
22秒前来自HUAWE,IP30Pro,羊角包战士,为什么mbti突然火了啊。。泛娱乐化到直逼星座，刷到好多营销号抖音网红都开始分析mbti，唉，烦。,[]
1分钟前来自Harmo,nyOS设备,dheicbgskjwusjvy,一时兴起的思索：当我们运用MBTI，九型人格等等把人分门别类后，是否又会带来另类的歧视,[]
1分钟前来自OnePl,us7T,春曙夏萤,最近mbti火爆程度让我以为大家被老累集体夺舍,[]
1分钟前来自iPhon,e12Pro,Ruiiko_,怎么mbti又火了,[]
2分钟前转赞人数超过4,00来自iPhone11,MBTImemes,#mbtimeme##infj#,[]
04月01日16:51,,cpdd,#mbti#十六人格性格示意图,[]
04月01日14:47,来自iPhone客户端,美滋滋bot,#mbti#16人格,[]
04月01日14:44,,MbtiTT,#mbti#infj,[]
11秒前来自iPhon,e12,蓝泡旺仔,想念汪汪和那个不愿测试mbti的女人,['[怒]']
1分钟前来自nova4,e3200W立体美颜,今天见到易烊千玺没有,怀疑自己是INFP这也太真实了吧#mbti#,[]
1分钟前来自Rita’,siPhone,靠窗三郎,看到这条微博的人现在就去做一套mbti测试！然后留下你的mbti我真的好好奇啊！！（v里搜mbti测试就有93题标准版,[]
1分钟前来自vivoY,76s,不是谢灵运,#谷爱凌的MBTI是INTJ#咱就是说刚测完就看到这个话题了,[]
